serialno,eventstationname,eventproductionline,eventdted,workorderno
CZC3497BSZ,B-5-A-PACKING,B-5-A,2023-12-08 22:06:03.307,4121145
CZC3497BQS,B-5-A-PACKING,B-5-A,2023-12-08 22:07:15.450,4121145
CZC3497BSK,B-5-A-PACKING,B-5-A,2023-12-08 22:08:04.517,4121145
CZC3497KZG,B-5-A-PACKING,B-5-A,2023-12-12 14:13:23.527,4122037
CZC3497KZH,B-5-A-PACKING,B-5-A,2023-12-12 14:15:18.710,4122037
CZC3497RB4,B-5-A-PACKING,B-5-A,2023-12-13 23:38:34.887,4122310
CZC3497BZP,B-5-A-PACKING,B-5-A,2023-12-18 07:14:38.153,4122682
CZC3497BZN,B-5-A-PACKING,B-5-A,2023-12-18 07:23:19.507,4122682
CZC351743T,B-5-A-PACKING,B-5-B,2023-12-20 17:19:06.230,84653157
CZC351743T,B-5-A-PACKING,B-5-A,2023-12-20 17:19:42.060,84653157
CZC3517444,B-5-A-PACKING,B-5-B,2023-12-20 17:21:06.590,84653157
CZC3517444,B-5-A-PACKING,B-5-A,2023-12-20 17:21:56.623,84653157
CZC351744B,B-5-A-PACKING,B-5-B,2023-12-20 17:23:02.467,84653157
CZC351744B,B-5-A-PACKING,B-5-A,2023-12-20 17:24:12.110,84653157
CZC3517448,B-5-A-PACKING,B-5-B,2023-12-20 17:28:37.293,84653157
CZC3517448,B-5-A-PACKING,B-5-A,2023-12-20 17:29:07.873,84653157
CZC3517446,B-5-A-PACKING,B-5-B,2023-12-20 17:30:13.593,84653157
CZC3517446,B-5-A-PACKING,B-5-A,2023-12-20 17:30:37.957,84653157
CZC351744G,B-5-A-PACKING,B-5-B,2023-12-20 17:32:03.060,84653157
CZC351744G,B-5-A-PACKING,B-5-A,2023-12-20 17:32:11.013,84653157
CZC351743Q,B-5-A-PACKING,B-5-B,2023-12-20 17:33:54.790,84653157
CZC351743Q,B-5-A-PACKING,B-5-A,2023-12-20 17:34:19.147,84653157
CZC351744N,B-5-A-PACKING,B-5-B,2023-12-20 17:35:42.743,84653157
CZC351744N,B-5-A-PACKING,B-5-A,2023-12-20 17:35:53.587,84653157
CZC351744D,B-5-A-PACKING,B-5-B,2023-12-20 17:38:03.107,84653157
CZC351744D,B-5-A-PACKING,B-5-A,2023-12-20 17:38:11.713,84653157
CZC3517442,B-5-A-PACKING,B-5-B,2023-12-20 18:02:34.110,84653157
CZC3517442,B-5-A-PACKING,B-5-A,2023-12-20 18:03:56.500,84653157
CZC351743R,B-5-A-PACKING,B-5-B,2023-12-20 18:05:22.537,84653157
CZC351743R,B-5-A-PACKING,B-5-A,2023-12-20 18:06:35.727,84653157
CZC351743W,B-5-A-PACKING,B-5-B,2023-12-20 18:07:49.053,84653157
CZC351743W,B-5-A-PACKING,B-5-A,2023-12-20 18:09:07.247,84653157
CZC351743Y,B-5-A-PACKING,B-5-B,2023-12-20 18:10:00.080,84653157
CZC351743Y,B-5-A-PACKING,B-5-A,2023-12-20 18:11:18.510,84653157
CZC351744J,B-5-A-PACKING,B-5-B,2023-12-20 18:12:36.813,84653157
CZC351744J,B-5-A-PACKING,B-5-A,2023-12-20 18:13:49.670,84653157
CZC351744L,B-5-A-PACKING,B-5-B,2023-12-20 18:14:46.013,84653157
CZC351744L,B-5-A-PACKING,B-5-A,2023-12-20 18:16:03.923,84653157
CZC351743V,B-5-A-PACKING,B-5-B,2023-12-20 18:17:02.417,84653157
CZC351743V,B-5-A-PACKING,B-5-A,2023-12-20 18:18:21.697,84653157
CZC351743Z,B-5-A-PACKING,B-5-B,2023-12-20 18:19:16.837,84653157
CZC351743Z,B-5-A-PACKING,B-5-A,2023-12-20 18:20:25.323,84653157
CZC3517449,B-5-A-PACKING,B-5-B,2023-12-20 18:21:18.437,84653157
CZC3517449,B-5-A-PACKING,B-5-A,2023-12-20 18:22:27.137,84653157
CZC3517441,B-5-A-PACKING,B-5-B,2023-12-20 18:23:15.453,84653157
CZC3517441,B-5-A-PACKING,B-5-A,2023-12-20 18:24:28.453,84653157
CZC3517445,B-5-A-PACKING,B-5-B,2023-12-20 18:25:13.107,84653157
CZC3517445,B-5-A-PACKING,B-5-A,2023-12-20 18:26:29.547,84653157
CZC3517443,B-5-A-PACKING,B-5-B,2023-12-20 18:28:13.563,84653157
CZC3517443,B-5-A-PACKING,B-5-A,2023-12-20 18:29:27.983,84653157
CZC351743X,B-5-A-PACKING,B-5-B,2023-12-20 18:30:31.703,84653157
CZC351743X,B-5-A-PACKING,B-5-A,2023-12-20 18:31:48.037,84653157
CZC3517447,B-5-A-PACKING,B-5-B,2023-12-20 18:32:56.857,84653157
CZC3517447,B-5-A-PACKING,B-5-A,2023-12-20 18:34:24.883,84653157
CZC351744H,B-5-A-PACKING,B-5-B,2023-12-20 18:35:32.187,84653157
CZC351744H,B-5-A-PACKING,B-5-A,2023-12-20 18:36:54.147,84653157
CZC351744K,B-5-A-PACKING,B-5-B,2023-12-20 18:37:47.087,84653157
CZC351744K,B-5-A-PACKING,B-5-A,2023-12-20 18:39:06.240,84653157
CZC351744C,B-5-A-PACKING,B-5-B,2023-12-20 18:40:14.817,84653157
CZC351744C,B-5-A-PACKING,B-5-A,2023-12-20 18:41:30.437,84653157
CZC351744F,B-5-A-PACKING,B-5-B,2023-12-20 18:42:17.230,84653157
CZC351744F,B-5-A-PACKING,B-5-A,2023-12-20 18:43:31.127,84653157
CZC351743S,B-5-A-PACKING,B-5-B,2023-12-20 18:47:28.683,84653157
CZC351743S,B-5-A-PACKING,B-5-A,2023-12-20 18:48:44.690,84653157
CZC351744M,B-5-A-PACKING,B-5-B,2023-12-20 19:00:43.670,84653157
CZC351744M,B-5-A-PACKING,B-5-A,2023-12-20 19:02:00.327,84653157
CZC3517440,B-5-A-PACKING,B-5-B,2023-12-20 22:17:48.417,84653157
CZC3517440,B-5-A-PACKING,B-5-A,2023-12-20 22:19:27.983,84653157
CZC35178JY,B-5-A-PACKING,B-5-B,2023-12-20 23:06:57.053,84653222
