serialno,eventstationname,eventproductionline,eventdted,workorderno
CZC3397MG0,B-5-A-PACKING,B-5-A,2023-10-24 22:39:50.013,85240225
CZC3407BP9,B-5-A-PACKING,B-5-A,2023-10-24 03:43:34.220,85269384
CZC3417B4K,B-5-A-PACKING,B-5-A,2023-10-23 23:30:07.307,85141211
CZC3417B6R,B-5-A-PACKING,B-5-A,2023-10-23 23:31:54.587,85141212
CZC3417B7B,B-5-A-PACKING,B-5-A,2023-10-23 23:45:41.700,85120381
CZC3417B7F,B-5-A-PACKING,B-5-A,2023-10-23 23:42:29.770,85111027
CZC3417BVP,B-5-A-PACKING,B-5-A,2023-10-23 22:51:55.650,85154138
CZC3427B2Q,B-5-A-PACKING,B-5-A,2023-10-23 22:31:55.960,84279511
CZC3427B2R,B-5-A-PACKING,B-5-A,2023-10-24 06:31:20.357,84279511
CZC3427B2T,B-5-A-PACKING,B-5-A,2023-10-23 22:38:09.913,84279511
CZC3427B2V,B-5-A-PACKING,B-5-A,2023-10-23 22:37:05.040,84279511
CZC3427B2X,B-5-A-PACKING,B-5-A,2023-10-23 22:38:39.757,84279511
CZC3427B2Y,B-5-A-PACKING,B-5-A,2023-10-23 22:37:39.893,84279511
CZC3427B2Z,B-5-A-PACKING,B-5-A,2023-10-23 22:36:29.923,84279511
CZC3427B3B,B-5-A-PACKING,B-5-A,2023-10-23 22:35:49.797,84279511
CZC3427B6J,B-5-A-PACKING,B-5-A,2023-10-24 02:41:22.713,85243198
CZC3427B6K,B-5-A-PACKING,B-5-A,2023-10-24 02:40:57.877,85243198
CZC3427B6L,B-5-A-PACKING,B-5-A,2023-10-24 02:40:11.470,85243198
CZC3427B8M,B-5-A-PACKING,B-5-A,2023-10-24 02:41:52.987,85311247
CZC3427BDR,B-5-A-PACKING,B-5-A,2023-10-24 02:01:10.187,85311248
CZC3427BG5,B-5-A-PACKING,B-5-A,2023-10-24 03:37:00.187,85294356
CZC3427BG6,B-5-A-PACKING,B-5-A,2023-10-24 03:24:19.427,85294356
CZC3427BG7,B-5-A-PACKING,B-5-A,2023-10-24 03:49:27.663,85294356
CZC3427BG8,B-5-A-PACKING,B-5-A,2023-10-24 03:24:56.633,85294356
CZC3427BG9,B-5-A-PACKING,B-5-A,2023-10-24 03:52:27.550,85294356
CZC3427BGB,B-5-A-PACKING,B-5-A,2023-10-24 03:23:44.503,85294356
CZC3427BGC,B-5-A-PACKING,B-5-A,2023-10-24 03:54:11.920,85294356
CZC3427BGD,B-5-A-PACKING,B-5-A,2023-10-24 03:22:17.963,85294356
CZC3427BGF,B-5-A-PACKING,B-5-A,2023-10-24 04:09:21.137,85294356
CZC3427BGG,B-5-A-PACKING,B-5-A,2023-10-24 03:22:57.303,85294356
CZC3427BGH,B-5-A-PACKING,B-5-A,2023-10-24 04:06:59.083,85294356
CZC3427BGJ,B-5-A-PACKING,B-5-A,2023-10-24 04:08:35.677,85294356
CZC3427BGK,B-5-A-PACKING,B-5-A,2023-10-24 04:06:10.423,85294356
CZC3427BGL,B-5-A-PACKING,B-5-A,2023-10-24 04:09:53.940,85294356
CZC3427BRC,B-5-A-PACKING,B-5-A,2023-10-24 05:24:29.807,85333626
CZC3427BRF,B-5-A-PACKING,B-5-A,2023-10-27 00:46:44.410,85333628
CZC3427BRG,B-5-A-PACKING,B-5-A,2023-10-24 04:02:43.730,85333628
CZC3427BRH,B-5-A-PACKING,B-5-A,2023-10-23 23:24:04.713,85333628
CZC3427BRJ,B-5-A-PACKING,B-5-A,2023-10-24 04:02:03.297,85333628
CZC3427BRM,B-5-A-PACKING,B-5-A,2023-10-24 01:44:27.260,85333815
CZC3427BRN,B-5-A-PACKING,B-5-A,2023-10-24 04:13:58.093,85333815
CZC3427BRP,B-5-A-PACKING,B-5-A,2023-10-24 01:48:08.500,85333815
CZC3427BRQ,B-5-A-PACKING,B-5-A,2023-10-24 01:48:34.953,85333815
CZC3427BRR,B-5-A-PACKING,B-5-A,2023-10-23 23:17:30.000,85333815
CZC3427BRS,B-5-A-PACKING,B-5-A,2023-10-23 23:40:41.503,85333815
CZC3427BRT,B-5-A-PACKING,B-5-A,2023-10-23 23:33:18.907,85333815
CZC3427BRV,B-5-A-PACKING,B-5-A,2023-10-24 04:03:55.403,85333815
CZC3427BRW,B-5-A-PACKING,B-5-A,2023-10-24 02:31:48.770,85333815
CZC3427BRX,B-5-A-PACKING,B-5-A,2023-10-24 02:35:08.003,85333815
CZC3427BRY,B-5-A-PACKING,B-5-A,2023-10-24 02:42:55.910,85333815
CZC3427BRZ,B-5-A-PACKING,B-5-A,2023-10-24 02:43:13.947,85333815
CZC3427BS0,B-5-A-PACKING,B-5-A,2023-10-24 02:43:38.473,85333815
CZC3427BS1,B-5-A-PACKING,B-5-A,2023-10-24 06:21:47.577,85333815
CZC3427BS2,B-5-A-PACKING,B-5-A,2023-10-24 01:40:08.093,85333815
CZC3427BS3,B-5-A-PACKING,B-5-A,2023-10-24 03:27:23.903,85333086
CZC3427BS4,B-5-A-PACKING,B-5-A,2023-10-24 10:09:51.603,85333086
CZC3427BS5,B-5-A-PACKING,B-5-A,2023-10-23 23:03:43.483,85333087
