id,start_time,end_time,pallets_loaded,Duration,DurationFormatted
Truck_A,2023-12-01 00:40:54.553,2023-12-01 02:25:15.330,20,0 days 01:44:20.777000,1:44
Truck_2,2023-12-01 02:25:59.383,2023-12-01 04:03:29.370,20,0 days 01:37:29.987000,1:37
Truck_3,2023-12-01 04:04:43.303,2023-12-01 06:21:01.033,20,0 days 02:16:17.730000,2:16
Truck_4,2023-12-01 06:26:46.863,2023-12-01 08:02:10.837,20,0 days 01:35:23.974000,1:35
Truck_5,2023-12-01 08:06:06.950,2023-12-01 13:00:11.937,20,0 days 04:54:04.987000,4:54
Truck_6,2023-12-01 13:02:31.027,2023-12-01 22:05:46.290,20,0 days 09:03:15.263000,9:3
Truck_7,2023-12-01 22:06:21.903,2023-12-01 23:39:20.510,20,0 days 01:32:58.607000,1:32
Truck_8,2023-12-02 00:33:37.060,2023-12-02 02:07:41.180,20,0 days 01:34:04.120000,1:34
Truck_9,2023-12-02 02:08:07.370,2023-12-02 03:40:43.777,20,0 days 01:32:36.407000,1:32
Truck_10,2023-12-02 03:42:35.383,2023-12-04 06:34:04.097,20,2 days 02:51:28.714000,50:51
Truck_11,2023-12-04 06:39:38.783,2023-12-04 10:50:13.537,20,0 days 04:10:34.754000,4:10
Truck_12,2023-12-04 10:51:42.560,2023-12-04 13:10:33.690,20,0 days 02:18:51.130000,2:18
Truck_13,2023-12-04 13:18:48.180,2023-12-05 00:45:19.313,20,0 days 11:26:31.133000,11:26
Truck_14,2023-12-05 00:45:49.293,2023-12-05 02:10:54.983,20,0 days 01:25:05.690000,1:25
Truck_15,2023-12-05 02:11:21.257,2023-12-05 04:58:37.613,20,0 days 02:47:16.356000,2:47
Truck_16,2023-12-05 05:01:39.867,2023-12-05 07:20:37.273,20,0 days 02:18:57.406000,2:18
Truck_17,2023-12-05 07:33:21.877,2023-12-05 09:35:16.557,20,0 days 02:01:54.680000,2:1
Truck_18,2023-12-05 09:43:11.197,2023-12-05 10:51:08.343,20,0 days 01:07:57.146000,1:7
Truck_19,2023-12-05 10:52:54.360,2023-12-05 13:11:19.963,20,0 days 02:18:25.603000,2:18
Truck_20,2023-12-05 13:17:10.577,2023-12-05 14:52:42.820,20,0 days 01:35:32.243000,1:35
Truck_21,2023-12-05 15:10:48.230,2023-12-05 19:26:01.950,20,0 days 04:15:13.720000,4:15
