workorderno,Wo_Count,Pcs On Pallet
4122310,1,42
85235769,1,18
85245709,1,32
85297393,1,12
85315935,1,32
85334378,1,18
85336328,1,18
85337086,1,32
85354961,1,32
85363851,1,12
85368833,1,18
85368835,1,18
85380239,1,32
85395582,1,12
85395583,1,12
85398711,1,12
85402448,1,12
85402870,1,12
85402891,1,12
85405095,1,18
85407124,1,12
85407692,1,12
85408071,1,12
85409126,1,12
85409713,1,12
85411293,1,12
85411393,1,12
85412440,1,12
85412441,1,12
85415721,1,12
85418427,1,12
85418428,1,42
85418972,1,12
85419333,1,12
85423117,1,12
85423151,1,12
85423665,1,12
85424095,1,12
85424354,1,12
85424649,1,12
85425104,1,18
85425332,1,12
85425670,1,12
85426232,1,12
85430008,1,18
85430009,1,18
85435523,1,12
85436001,1,48
85436798,1,12
85437764,1,18
85438754,1,48
85439609,1,12
85439610,1,12
85440049,1,12
85440060,1,12
85442098,1,18
85442333,1,12
85442793,1,32
85442842,1,12
85445123,1,12
85447418,1,12
85447499,1,12
85448079,1,18
85448379,1,18
85448445,1,12
85448679,1,18
85448700,1,12
85448701,1,18
85449256,1,48
85450007,1,18
85450008,1,18
85450213,1,12
85451677,1,12
85459199,1,32
85459215,1,32
85459231,1,12
85459236,1,12
85459241,1,42
85459342,1,18
85459348,1,18
85461275,1,12
85462252,1,32
85462325,1,48
85462547,1,32
85462821,1,48
85462861,1,12
85462862,1,12
85463692,1,12
85464040,1,12
85464936,1,48
85465228,1,42
85465330,1,32
85465333,1,42
85465514,1,48
85466711,1,12
85466725,1,12
85467374,1,12
85467635,1,32
85469411,1,32
85470118,1,18
85470733,1,32
85471025,1,32
85471305,1,32
85471654,1,32
85471776,1,32
85472474,1,12
85472483,1,12
85472636,1,32
85472638,1,12
85472639,1,12
85472640,1,12
85472651,1,12
85472670,1,12
85472671,1,12
85473746,1,32
85473747,1,32
85473750,1,12
85473910,1,12
85474317,1,18
85474318,1,18
85475594,1,12
85475803,1,12
85475804,1,18
85476060,1,32
85476061,1,32
85476715,1,32
85477022,1,32
85477084,1,12
85477677,1,32
85478888,1,32
85479393,1,32
85480550,1,18
85480868,1,42
85480925,1,32
85480988,1,18
85481895,1,32
85482952,1,32
85483683,1,32
85483685,1,12
85484051,1,18
85484168,1,12
85484404,1,32
85484906,1,12
85484934,1,18
85485616,1,12
85485617,1,18
85485767,1,18
85486323,1,12
85486797,1,32
85487384,1,32
85487881,1,18
85487882,1,18
85488956,1,42
85488984,1,18
85488989,1,32
85488990,1,32
85489922,1,32
85490310,1,18
85490571,1,32
85491038,1,12
85491043,1,12
85492043,1,18
85492052,1,18
85492060,1,18
85492072,1,12
85492073,1,12
85492155,1,18
85492157,1,18
85492158,1,12
85492165,1,18
85492171,1,12
85492172,1,12
85492205,1,12
85492208,1,12
85492209,1,12
85492213,1,12
85492215,1,12
85494153,1,18
85494154,1,18
85494155,1,18
85494156,1,18
85494157,1,18
85494158,1,18
85495711,1,32
85495783,1,32
85497065,1,32
85497493,1,48
85498198,1,32
85498203,1,32
85498540,1,12
85498545,1,12
85498546,1,12
85498551,1,12
85498553,1,18
85498564,1,18
85498565,1,12
85498566,1,18
85498567,1,18
85498712,1,18
85498736,1,32
85498738,1,32
85498755,1,18
85498756,1,18
85498757,1,18
85498768,1,18
85498769,1,12
85500027,1,18
85501833,1,32
85502160,1,40
85502276,1,32
85502278,1,48
85502464,1,32
85502840,1,32
85502912,1,32
85502914,1,32
85502957,1,48
85503433,1,54
85503466,1,32
85503467,1,42
85503468,1,48
85503470,1,48
85503594,1,32
85503595,1,32
85503777,1,12
85504577,1,18
85504915,1,48
85505393,1,32
85505399,1,32
85505402,1,32
85505403,1,32
85505412,1,32
85505413,1,32
85505913,1,32
85505919,1,32
85505920,1,32
85506016,1,48
85506020,1,18
85506028,1,32
85506029,1,32
85506030,1,32
85506033,1,32
85507128,1,18
85507129,1,12
85507140,1,32
85507141,1,32
85507148,1,18
85507324,1,18
85507325,1,12
85507659,1,18
85507747,1,32
85507750,1,48
85507763,1,32
85507821,1,18
85507923,1,18
85507969,1,18
85507974,1,18
85508320,1,54
85508559,1,32
85508580,1,42
85508585,1,32
85508813,1,32
85508831,1,48
85509075,1,48
85509101,1,48
85509287,1,32
85509288,1,32
