WO,Palletization,Pieces,PalletID,StartTime,EndTime,Duration,IsFull
4122310,42,1,0,2023-12-13 23:38:34,2023-12-13 23:38:34,00:00:00,False
85235769,18,1,0,2023-12-19 06:43:36,2023-12-19 06:43:36,00:00:00,False
85245709,32,1,0,2023-12-06 12:48:09,2023-12-06 12:48:09,00:00:00,False
85297393,12,1,0,2023-12-07 10:14:16,2023-12-07 10:14:16,00:00:00,False
85315935,32,1,0,2023-12-06 13:24:53,2023-12-06 13:24:53,00:00:00,False
85334378,18,1,0,2023-12-07 09:32:49,2023-12-07 09:32:49,00:00:00,False
85336328,18,1,0,2023-12-18 06:18:12,2023-12-18 06:18:12,00:00:00,False
85337086,32,1,0,2023-12-06 15:45:29,2023-12-06 15:45:29,00:00:00,False
85354961,32,1,0,2023-12-06 19:58:14,2023-12-06 19:58:14,00:00:00,False
85363851,12,1,0,2023-12-06 02:44:35,2023-12-06 02:44:35,00:00:00,False
85368833,18,1,0,2023-12-21 03:29:57,2023-12-21 03:29:57,00:00:00,False
85368835,18,1,0,2023-12-22 00:59:43,2023-12-22 00:59:43,00:00:00,False
85380239,32,1,0,2023-12-06 13:17:26,2023-12-06 13:17:26,00:00:00,False
85395582,12,1,0,2023-12-07 10:12:15,2023-12-07 10:12:15,00:00:00,False
85395583,12,1,0,2023-12-07 09:39:43,2023-12-07 09:39:43,00:00:00,False
85398711,12,1,0,2023-12-07 09:40:25,2023-12-07 09:40:25,00:00:00,False
85402448,12,1,0,2023-12-09 05:04:07,2023-12-09 05:04:07,00:00:00,False
85402870,12,1,0,2023-12-08 04:05:48,2023-12-08 04:05:48,00:00:00,False
85402891,12,1,0,2023-12-08 03:47:29,2023-12-08 03:47:29,00:00:00,False
85405095,18,1,0,2023-12-07 10:10:51,2023-12-07 10:10:51,00:00:00,False
85407124,12,1,0,2023-12-07 10:05:59,2023-12-07 10:05:59,00:00:00,False
85407692,12,1,0,2023-12-20 18:57:49,2023-12-20 18:57:49,00:00:00,False
85408071,12,1,0,2023-12-07 18:24:21,2023-12-07 18:24:21,00:00:00,False
85409126,12,1,0,2023-12-08 00:42:34,2023-12-08 00:42:34,00:00:00,False
85409713,12,1,0,2023-12-07 12:49:25,2023-12-07 12:49:25,00:00:00,False
85411293,12,1,0,2023-12-09 03:45:58,2023-12-09 03:45:58,00:00:00,False
85411393,12,1,0,2023-12-08 23:21:01,2023-12-08 23:21:01,00:00:00,False
85412440,12,1,0,2023-12-09 02:07:33,2023-12-09 02:07:33,00:00:00,False
85412441,12,1,0,2023-12-11 10:39:53,2023-12-11 10:39:53,00:00:00,False
85415721,12,1,0,2023-12-07 22:58:36,2023-12-07 22:58:36,00:00:00,False
85418427,12,1,0,2023-12-07 10:08:24,2023-12-07 10:08:24,00:00:00,False
85418428,42,1,0,2023-12-06 07:19:28,2023-12-06 07:19:28,00:00:00,False
85418972,12,1,0,2023-12-07 10:15:39,2023-12-07 10:15:39,00:00:00,False
85419333,12,1,0,2023-12-21 02:13:12,2023-12-21 02:13:12,00:00:00,False
85423117,12,1,0,2023-12-07 10:24:09,2023-12-07 10:24:09,00:00:00,False
85423151,12,1,0,2023-12-18 07:40:36,2023-12-18 07:40:36,00:00:00,False
85423665,12,1,0,2023-12-18 08:25:51,2023-12-18 08:25:51,00:00:00,False
85424095,12,1,0,2023-12-07 15:22:25,2023-12-07 15:22:25,00:00:00,False
85424354,12,1,0,2023-12-07 11:10:00,2023-12-07 11:10:00,00:00:00,False
85424649,12,1,0,2023-12-06 01:30:36,2023-12-06 01:30:36,00:00:00,False
85425104,18,1,0,2023-12-02 03:40:43,2023-12-02 03:40:43,00:00:00,False
85425332,12,1,0,2023-12-22 10:32:56,2023-12-22 10:32:56,00:00:00,False
85425670,12,1,0,2023-12-07 10:07:06,2023-12-07 10:07:06,00:00:00,False
85426232,12,1,0,2023-12-05 19:07:51,2023-12-05 19:07:51,00:00:00,False
85430008,18,1,0,2023-12-28 02:29:19,2023-12-28 02:29:19,00:00:00,False
85430009,18,1,0,2023-12-22 11:12:30,2023-12-22 11:12:30,00:00:00,False
85435523,12,1,0,2023-12-06 02:10:15,2023-12-06 02:10:15,00:00:00,False
85436001,48,1,0,2023-12-06 18:26:12,2023-12-06 18:26:12,00:00:00,False
85436798,12,1,0,2023-12-06 08:05:56,2023-12-06 08:05:56,00:00:00,False
85437764,18,1,0,2023-12-05 22:58:37,2023-12-05 22:58:37,00:00:00,False
85438754,48,1,0,2023-12-01 03:36:43,2023-12-01 03:36:43,00:00:00,False
85439609,12,1,0,2023-12-07 19:52:04,2023-12-07 19:52:04,00:00:00,False
85439610,12,1,0,2023-12-07 18:44:19,2023-12-07 18:44:19,00:00:00,False
85440049,12,1,0,2023-12-07 10:14:53,2023-12-07 10:14:53,00:00:00,False
85440060,12,1,0,2023-12-08 04:15:11,2023-12-08 04:15:11,00:00:00,False
85442098,18,1,0,2023-12-23 04:04:21,2023-12-23 04:04:21,00:00:00,False
85442333,12,1,0,2023-12-07 13:07:54,2023-12-07 13:07:54,00:00:00,False
85442793,32,1,0,2023-12-06 13:47:57,2023-12-06 13:47:57,00:00:00,False
85442842,12,1,0,2023-12-07 23:24:16,2023-12-07 23:24:16,00:00:00,False
85445123,12,1,0,2023-12-07 19:46:41,2023-12-07 19:46:41,00:00:00,False
85447418,12,1,0,2023-12-07 09:41:37,2023-12-07 09:41:37,00:00:00,False
85447499,12,1,0,2023-12-08 06:23:55,2023-12-08 06:23:55,00:00:00,False
85448079,18,1,0,2023-12-29 02:32:07,2023-12-29 02:32:07,00:00:00,False
85448379,18,1,0,2023-12-28 12:55:42,2023-12-28 12:55:42,00:00:00,False
85448445,12,1,0,2023-12-07 21:46:25,2023-12-07 21:46:25,00:00:00,False
85448679,18,1,0,2023-12-19 07:32:59,2023-12-19 07:32:59,00:00:00,False
85448700,12,1,0,2023-12-14 08:33:59,2023-12-14 08:33:59,00:00:00,False
85448701,18,1,0,2023-12-29 02:40:38,2023-12-29 02:40:38,00:00:00,False
85449256,48,1,0,2023-12-06 12:56:24,2023-12-06 12:56:24,00:00:00,False
85450007,18,1,0,2023-12-05 22:10:59,2023-12-05 22:10:59,00:00:00,False
85450008,18,1,0,2023-12-05 20:32:38,2023-12-05 20:32:38,00:00:00,False
85450213,12,1,0,2023-12-14 08:39:13,2023-12-14 08:39:13,00:00:00,False
85451677,12,1,0,2023-12-08 10:07:59,2023-12-08 10:07:59,00:00:00,False
85459199,32,1,0,2023-12-08 08:03:52,2023-12-08 08:03:52,00:00:00,False
85459215,32,1,0,2023-12-06 20:10:06,2023-12-06 20:10:06,00:00:00,False
85459231,12,1,0,2023-12-08 10:06:35,2023-12-08 10:06:35,00:00:00,False
85459236,12,1,0,2023-12-07 19:28:22,2023-12-07 19:28:22,00:00:00,False
85459241,42,1,0,2023-12-06 06:07:43,2023-12-06 06:07:43,00:00:00,False
85459342,18,1,0,2023-12-07 09:35:33,2023-12-07 09:35:33,00:00:00,False
85459348,18,1,0,2023-12-07 09:32:05,2023-12-07 09:32:05,00:00:00,False
85461275,12,1,0,2023-12-07 20:05:41,2023-12-07 20:05:41,00:00:00,False
85462252,32,1,0,2023-12-06 19:27:39,2023-12-06 19:27:39,00:00:00,False
85462325,48,1,0,2023-12-06 12:55:44,2023-12-06 12:55:44,00:00:00,False
85462547,32,1,0,2023-12-04 10:06:20,2023-12-04 10:06:20,00:00:00,False
85462821,48,1,0,2023-12-22 08:09:30,2023-12-22 08:09:30,00:00:00,False
85462861,12,1,0,2023-12-05 19:19:42,2023-12-05 19:19:42,00:00:00,False
85462862,12,1,0,2023-12-07 22:26:05,2023-12-07 22:26:05,00:00:00,False
85463692,12,1,0,2023-12-08 09:23:10,2023-12-08 09:23:10,00:00:00,False
85464040,12,1,0,2023-12-08 22:42:57,2023-12-08 22:42:57,00:00:00,False
85464936,48,1,0,2023-12-06 05:21:29,2023-12-06 05:21:29,00:00:00,False
85465228,42,1,0,2023-12-06 07:20:14,2023-12-06 07:20:14,00:00:00,False
85465330,32,1,0,2023-12-08 03:34:11,2023-12-08 03:34:11,00:00:00,False
85465333,42,1,0,2023-12-06 06:10:18,2023-12-06 06:10:18,00:00:00,False
85465514,48,1,0,2023-12-06 05:26:02,2023-12-06 05:26:02,00:00:00,False
85466711,12,1,0,2023-12-08 10:30:11,2023-12-08 10:30:11,00:00:00,False
85466725,12,1,0,2023-12-08 08:21:55,2023-12-08 08:21:55,00:00:00,False
85467374,12,1,0,2023-12-07 20:04:41,2023-12-07 20:04:41,00:00:00,False
85467635,32,1,0,2023-12-04 10:36:34,2023-12-04 10:36:34,00:00:00,False
85469411,32,1,0,2023-12-05 09:24:10,2023-12-05 09:24:10,00:00:00,False
85470118,18,1,0,2023-12-05 23:22:13,2023-12-05 23:22:13,00:00:00,False
85470733,32,1,0,2023-12-02 03:23:21,2023-12-02 03:23:21,00:00:00,False
85471025,32,1,0,2023-12-05 12:44:40,2023-12-05 12:44:40,00:00:00,False
85471305,32,1,0,2023-12-05 10:39:35,2023-12-05 10:39:35,00:00:00,False
85471654,32,1,0,2023-12-01 22:10:16,2023-12-01 22:10:16,00:00:00,False
85471776,32,1,0,2023-12-01 22:34:29,2023-12-01 22:34:29,00:00:00,False
85472474,12,1,0,2023-12-14 08:34:34,2023-12-14 08:34:34,00:00:00,False
85472483,12,1,0,2023-12-08 01:02:16,2023-12-08 01:02:16,00:00:00,False
85472636,32,1,0,2023-12-01 02:17:28,2023-12-01 02:17:28,00:00:00,False
85472638,12,1,0,2023-12-07 13:21:31,2023-12-07 13:21:31,00:00:00,False
85472639,12,1,0,2023-12-07 13:19:54,2023-12-07 13:19:54,00:00:00,False
85472640,12,1,0,2023-12-07 22:59:59,2023-12-07 22:59:59,00:00:00,False
85472651,12,1,0,2023-12-07 22:31:37,2023-12-07 22:31:37,00:00:00,False
85472670,12,1,0,2023-12-18 22:29:59,2023-12-18 22:29:59,00:00:00,False
85472671,12,1,0,2023-12-08 04:20:30,2023-12-08 04:20:30,00:00:00,False
85473746,32,1,0,2023-12-02 03:24:17,2023-12-02 03:24:17,00:00:00,False
85473747,32,1,0,2023-12-01 02:21:44,2023-12-01 02:21:44,00:00:00,False
85473750,12,1,0,2023-12-13 08:19:27,2023-12-13 08:19:27,00:00:00,False
85473910,12,1,0,2023-12-07 20:20:41,2023-12-07 20:20:41,00:00:00,False
85474317,18,1,0,2023-12-06 02:12:39,2023-12-06 02:12:39,00:00:00,False
85474318,18,1,0,2023-12-09 04:31:45,2023-12-09 04:31:45,00:00:00,False
85475594,12,1,0,2023-12-13 10:05:33,2023-12-13 10:05:33,00:00:00,False
85475803,12,1,0,2023-12-08 08:22:38,2023-12-08 08:22:38,00:00:00,False
85475804,18,1,0,2023-12-05 22:35:00,2023-12-05 22:35:00,00:00:00,False
85476060,32,1,0,2023-12-06 13:08:57,2023-12-06 13:08:57,00:00:00,False
85476061,32,1,0,2023-12-01 13:00:11,2023-12-01 13:00:11,00:00:00,False
85476715,32,1,0,2023-12-11 11:24:22,2023-12-11 11:24:22,00:00:00,False
85477022,32,1,0,2023-12-01 13:17:40,2023-12-01 13:17:40,00:00:00,False
85477084,12,1,0,2023-12-13 07:01:38,2023-12-13 07:01:38,00:00:00,False
85477677,32,1,0,2023-12-01 01:49:22,2023-12-01 01:49:22,00:00:00,False
